연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.127
4,0103 01:00,공주,0.059
4,0103 02:00,공주,0.085
4,0103 03:00,공주,0.064
4,0103 04:00,공주,0.061
4,0103 05:00,공주,0.061
4,0103 06:00,공주,0.075
4,0103 07:00,공주,0.0667
4,0103 08:00,공주,0.041
4,0103 09:00,공주,0.119
4,0103 10:00,공주,0.085
4,0103 11:00,공주,0.083
4,0103 12:00,공주,0.055
4,0103 13:00,공주,0.048
4,0103 14:00,공주,0.056
4,0103 15:00,공주,0.066
4,0103 16:00,공주,0.057
4,0103 17:00,공주,0.024
4,0103 18:00,공주,0.089
4,0103 19:00,공주,0.030
4,0103 20:00,공주,0.061
4,0103 21:00,공주,0.026
4,0103 22:00,공주,0.049
4,0103 23:00,공주,0.035
4,0104 00:00,공주,0.051
4,0104 01:00,공주,0.025
4,0104 02:00,공주,0.090
4,0104 03:00,공주,0.049
4,0104 04:00,공주,0.081
4,0104 05:00,공주,0.051
4,0104 06:00,공주,0.087
4,0104 07:00,공주,0.078
4,0104 08:00,공주,0.084
4,0104 09:00,공주,0.093
4,0104 10:00,공주,0.094
4,0104 11:00,공주,0.078
4,0104 12:00,공주,0.056
4,0104 13:00,공주,0.044
4,0104 14:00,공주,0.049
4,0104 15:00,공주,0.094
4,0104 16:00,공주,0.058
4,0104 17:00,공주,0.048
4,0104 18:00,공주,0.029
4,0104 19:00,공주,0.051
4,0104 20:00,공주,0.045
4,0104 21:00,공주,0.035
4,0104 22:00,공주,0.011
4,0104 23:00,공주,0.049
4,0105 00:00,공주,0.032
4,0105 01:00,공주,0.066
4,0105 02:00,공주,0.056
4,0105 03:00,공주,0.066
4,0105 04:00,공주,0.075
4,0105 05:00,공주,0.075
4,0105 06:00,공주,0.0665
4,0105 07:00,공주,0.089
4,0105 08:00,공주,0.099
4,0105 09:00,공주,0.099
4,0105 10:00,공주,0.088
4,0105 11:00,공주,0.105
4,0105 12:00,공주,0.058
4,0105 13:00,공주,0.057
4,0105 14:00,공주,0.057
4,0105 15:00,공주,0.043
4,0105 16:00,공주,0.061
4,0105 17:00,공주,0.048
4,0105 18:00,공주,0.058
4,0105 19:00,공주,0.039
4,0105 20:00,공주,0.066
4,0105 21:00,공주,0.063
4,0105 22:00,공주,0.019
4,0105 23:00,공주,0.021
4,0108 00:00,공주,0.055
4,0108 01:00,공주,0.059
4,0108 02:00,공주,0.072
4,0108 03:00,공주,0.111
4,0108 04:00,공주,0.062
4,0108 05:00,공주,0.052
4,0108 06:00,공주,0.072
4,0108 07:00,공주,0.063
4,0108 08:00,공주,0.122
4,0108 09:00,공주,0.117
4,0108 10:00,공주,0.129
4,0108 11:00,공주,0.138
4,0108 12:00,공주,0.076
4,0108 13:00,공주,0.145
4,0108 14:00,공주,0.284
4,0108 15:00,공주,0.188
4,0108 16:00,공주,0.135
4,0108 17:00,공주,0.125
4,0108 18:00,공주,0.102
4,0108 19:00,공주,0.087
4,0108 20:00,공주,0.049
4,0108 21:00,공주,0.076
4,0108 22:00,공주,0.125
4,0108 23:00,공주,0.096
4,0109 00:00,공주,0.065
4,0109 01:00,공주,0.102
4,0109 02:00,공주,0.054
4,0109 03:00,공주,0.073
4,0109 04:00,공주,0.052
4,0109 05:00,공주,0.032
4,0109 06:00,공주,0.095
4,0109 07:00,공주,0.072
4,0109 08:00,공주,0.073
4,0109 09:00,공주,0.118
4,0109 10:00,공주,0.103
4,0109 11:00,공주,0.143
4,0109 12:00,공주,0.107
4,0109 13:00,공주,0.126
4,0109 14:00,공주,0.156
4,0109 15:00,공주,0.117
4,0109 16:00,공주,0.116
4,0109 17:00,공주,0.121
4,0109 18:00,공주,0.082
4,0109 19:00,공주,0.145
4,0109 20:00,공주,0.035
4,0109 21:00,공주,0.134
4,0109 22:00,공주,0.124
4,0109 23:00,공주,0.078
4,0110 00:00,공주,0.084
4,0110 01:00,공주,0.075
4,0110 02:00,공주,0.074
4,0110 03:00,공주,0.076
4,0110 04:00,공주,0.059
4,0110 05:00,공주,0.055
4,0110 06:00,공주,0.078
4,0110 07:00,공주,0.079
4,0110 08:00,공주,0.088
4,0110 09:00,공주,0.156
4,0110 10:00,공주,0.121
4,0110 11:00,공주,0.082
4,0110 12:00,공주,0.157
4,0110 13:00,공주,0.124
4,0110 14:00,공주,0.091
4,0110 15:00,공주,0.122
4,0110 16:00,공주,0.146
4,0110 17:00,공주,0.169
4,0110 18:00,공주,0.118
4,0110 19:00,공주,0.073
4,0110 20:00,공주,0.115
4,0110 21:00,공주,0.146
4,0110 22:00,공주,0.081
4,0110 23:00,공주,0.086
4,0113 00:00,공주,0.166
4,0113 01:00,공주,0.189
4,0113 02:00,공주,0.187
4,0113 03:00,공주,0.199
4,0113 04:00,공주,0.199
4,0113 05:00,공주,0.166
4,0113 06:00,공주,0.1253
4,0113 07:00,공주,0.171
4,0113 08:00,공주,0.221
4,0113 09:00,공주,0.19
