연도,일시,측정소,PM2.5
4.0,01-03 00:00,공주,0.13300008
4.0,01-03 01:00,공주,0.13289085
4.0,01-03 02:00,공주,0.13278154
4.0,01-03 03:00,공주,0.13267224
4.0,01-03 04:00,공주,0.13256283
4.0,01-03 05:00,공주,0.13245341
4.0,01-03 06:00,공주,0.13234389
4.0,01-03 07:00,공주,0.13223436
4.0,01-03 08:00,공주,0.13212484
4.0,01-03 09:00,공주,0.13201526
4.0,01-03 10:00,공주,0.13190567
4.0,01-03 11:00,공주,0.13179606
4.0,01-03 12:00,공주,0.13168618
4.0,01-03 13:00,공주,0.13157651
4.0,01-03 14:00,공주,0.13146672
4.0,01-03 15:00,공주,0.13135688
4.0,01-03 16:00,공주,0.13124694
4.0,01-03 17:00,공주,0.13113715
4.0,01-03 18:00,공주,0.13102713
4.0,01-03 19:00,공주,0.13091712
4.0,01-03 20:00,공주,0.13080704
4.0,01-03 21:00,공주,0.13069707
4.0,01-03 22:00,공주,0.1305869
4.0,01-03 23:00,공주,0.13047685
4.0,01-04 00:00,공주,0.13036662
4.0,01-04 01:00,공주,0.13025647
4.0,01-04 02:00,공주,0.13014609
4.0,01-04 03:00,공주,0.13003583
4.0,01-04 04:00,공주,0.1299256
4.0,01-04 05:00,공주,0.12981518
4.0,01-04 06:00,공주,0.12970482
4.0,01-04 07:00,공주,0.1295943
4.0,01-04 08:00,공주,0.1294839
4.0,01-04 09:00,공주,0.12937328
4.0,01-04 10:00,공주,0.12926282
4.0,01-04 11:00,공주,0.12915227
4.0,01-04 12:00,공주,0.12904164
4.0,01-04 13:00,공주,0.12893105
4.0,01-04 14:00,공주,0.12882029
4.0,01-04 15:00,공주,0.12870957
4.0,01-04 16:00,공주,0.12859875
4.0,01-04 17:00,공주,0.12848803
4.0,01-04 18:00,공주,0.12837718
4.0,01-04 19:00,공주,0.12826645
4.0,01-04 20:00,공주,0.12815548
4.0,01-04 21:00,공주,0.12804464
4.0,01-04 22:00,공주,0.12793359
4.0,01-04 23:00,공주,0.12782258
4.0,01-05 00:00,공주,0.1277116
4.0,01-05 01:00,공주,0.12760054
4.0,01-05 02:00,공주,0.12748955
4.0,01-05 03:00,공주,0.1273784
4.0,01-05 04:00,공주,0.12726733
4.0,01-05 05:00,공주,0.12715614
4.0,01-05 06:00,공주,0.12704487
4.0,01-05 07:00,공주,0.1269336
4.0,01-05 08:00,공주,0.12682243
4.0,01-05 09:00,공주,0.12671119
4.0,01-05 10:00,공주,0.12659979
4.0,01-05 11:00,공주,0.12648837
4.0,01-05 12:00,공주,0.12637714
4.0,01-05 13:00,공주,0.12626566
4.0,01-05 14:00,공주,0.12615424
4.0,01-05 15:00,공주,0.12604268
4.0,01-05 16:00,공주,0.12593119
4.0,01-05 17:00,공주,0.12581977
4.0,01-05 18:00,공주,0.12570818
4.0,01-05 19:00,공주,0.12559666
4.0,01-05 20:00,공주,0.12548496
4.0,01-05 21:00,공주,0.12537332
4.0,01-05 22:00,공주,0.12526165
4.0,01-05 23:00,공주,0.12514998
4.0,01-08 00:00,공주,0.12503828
4.0,01-08 01:00,공주,0.12492651
4.0,01-08 02:00,공주,0.12481485
4.0,01-08 03:00,공주,0.124702916
4.0,01-08 04:00,공주,0.1245911
4.0,01-08 05:00,공주,0.12447928
4.0,01-08 06:00,공주,0.1243674
4.0,01-08 07:00,공주,0.12425557
4.0,01-08 08:00,공주,0.12414363
4.0,01-08 09:00,공주,0.12403163
4.0,01-08 10:00,공주,0.123919606
4.0,01-08 11:00,공주,0.1238077
4.0,01-08 12:00,공주,0.12369566
4.0,01-08 13:00,공주,0.12358366
4.0,01-08 14:00,공주,0.12347154
4.0,01-08 15:00,공주,0.12335947
4.0,01-08 16:00,공주,0.12324734
4.0,01-08 17:00,공주,0.12313521
4.0,01-08 18:00,공주,0.12302312
4.0,01-08 19:00,공주,0.12291089
4.0,01-08 20:00,공주,0.12279877
4.0,01-08 21:00,공주,0.122686535
4.0,01-08 22:00,공주,0.12257436
4.0,01-08 23:00,공주,0.122462004
4.0,01-09 00:00,공주,0.12234974
4.0,01-09 01:00,공주,0.122237444
4.0,01-09 02:00,공주,0.122125134
4.0,01-09 03:00,공주,0.12201278
4.0,01-09 04:00,공주,0.121900395
4.0,01-09 05:00,공주,0.121788025
4.0,01-09 06:00,공주,0.121675715
4.0,01-09 07:00,공주,0.12156317
4.0,01-09 08:00,공주,0.12145077
4.0,01-09 09:00,공주,0.12133829
4.0,01-09 10:00,공주,0.121225804
4.0,01-09 11:00,공주,0.121113345
4.0,01-09 12:00,공주,0.121000856
4.0,01-09 13:00,공주,0.12088837
4.0,01-09 14:00,공주,0.120775804
4.0,01-09 15:00,공주,0.120663255
4.0,01-09 16:00,공주,0.12055065
4.0,01-09 17:00,공주,0.12043813
4.0,01-09 18:00,공주,0.12032549
4.0,01-09 19:00,공주,0.12021293
4.0,01-09 20:00,공주,0.120100245
4.0,01-09 21:00,공주,0.11998755
4.0,01-09 22:00,공주,0.119874865
4.0,01-09 23:00,공주,0.1197622
4.0,01-10 00:00,공주,0.119649515
4.0,01-10 01:00,공주,0.11953674
4.0,01-10 02:00,공주,0.119424075
4.0,01-10 03:00,공주,0.11931139
4.0,01-10 04:00,공주,0.11919859
4.0,01-10 05:00,공주,0.11908588
4.0,01-10 06:00,공주,0.11897303
4.0,01-10 07:00,공주,0.11886032
