연도,일시,측정소,PM2.5
4.0,01-03 00:00,공주,0.14686163
4.0,01-03 01:00,공주,0.1430561
4.0,01-03 02:00,공주,0.1430561
4.0,01-03 03:00,공주,0.14421241
4.0,01-03 04:00,공주,0.14421241
4.0,01-03 05:00,공주,0.14421241
4.0,01-03 06:00,공주,0.14421241
4.0,01-03 07:00,공주,0.15802708
4.0,01-03 08:00,공주,0.17451806
4.0,01-03 09:00,공주,0.17451806
4.0,01-03 10:00,공주,0.17451806
4.0,01-03 11:00,공주,0.17451806
4.0,01-03 12:00,공주,0.17451806
4.0,01-03 13:00,공주,0.17991352
4.0,01-03 14:00,공주,0.18032458
4.0,01-03 15:00,공주,0.17933768
4.0,01-03 16:00,공주,0.17933768
4.0,01-03 17:00,공주,0.17933768
4.0,01-03 18:00,공주,0.17933768
4.0,01-03 19:00,공주,0.17208041
4.0,01-03 20:00,공주,0.17410834
4.0,01-03 21:00,공주,0.17968033
4.0,01-03 22:00,공주,0.17968033
4.0,01-03 23:00,공주,0.17968033
4.0,01-04 00:00,공주,0.1837751
4.0,01-04 01:00,공주,0.1837751
4.0,01-04 02:00,공주,0.1837751
4.0,01-04 03:00,공주,0.1837751
4.0,01-04 04:00,공주,0.1837751
4.0,01-04 05:00,공주,0.1837751
4.0,01-04 06:00,공주,0.1837751
4.0,01-04 07:00,공주,0.20466241
4.0,01-04 08:00,공주,0.21272129
4.0,01-04 09:00,공주,0.21272129
4.0,01-04 10:00,공주,0.21272129
4.0,01-04 11:00,공주,0.21272129
4.0,01-04 12:00,공주,0.18530859
4.0,01-04 13:00,공주,0.17293261
4.0,01-04 14:00,공주,0.17293261
4.0,01-04 15:00,공주,0.17293261
4.0,01-04 16:00,공주,0.17293261
4.0,01-04 17:00,공주,0.17293261
4.0,01-04 18:00,공주,0.17293261
4.0,01-04 19:00,공주,0.17293261
4.0,01-04 20:00,공주,0.17293261
4.0,01-04 21:00,공주,0.17293261
4.0,01-04 22:00,공주,0.17293261
4.0,01-04 23:00,공주,0.17293261
4.0,01-05 00:00,공주,0.17293261
4.0,01-05 01:00,공주,0.17293261
4.0,01-05 02:00,공주,0.17293261
4.0,01-05 03:00,공주,0.17293261
4.0,01-05 04:00,공주,0.17293261
4.0,01-05 05:00,공주,0.17293261
4.0,01-05 06:00,공주,0.17293261
4.0,01-05 07:00,공주,0.1734544
4.0,01-05 08:00,공주,0.1734544
4.0,01-05 09:00,공주,0.18498135
4.0,01-05 10:00,공주,0.18498135
4.0,01-05 11:00,공주,0.18498135
4.0,01-05 12:00,공주,0.17350885
4.0,01-05 13:00,공주,0.16892843
4.0,01-05 14:00,공주,0.16892843
4.0,01-05 15:00,공주,0.16630144
4.0,01-05 16:00,공주,0.16698052
4.0,01-05 17:00,공주,0.16698052
4.0,01-05 18:00,공주,0.16698052
4.0,01-05 19:00,공주,0.16698052
