연도,일시,측정소,PM2.5
4.0,01-03 00:00,공주,0.121213585
4.0,01-03 01:00,공주,0.118774295
4.0,01-03 02:00,공주,0.1166398
4.0,01-03 03:00,공주,0.12075595
4.0,01-03 04:00,공주,0.11795089
4.0,01-03 05:00,공주,0.12669307
4.0,01-03 06:00,공주,0.13599005
4.0,01-03 07:00,공주,0.14401376
4.0,01-03 08:00,공주,0.17061827
4.0,01-03 09:00,공주,0.18222901
4.0,01-03 10:00,공주,0.18688233
4.0,01-03 11:00,공주,0.17347287
4.0,01-03 12:00,공주,0.17436516
4.0,01-03 13:00,공주,0.16631563
4.0,01-03 14:00,공주,0.16158088
4.0,01-03 15:00,공주,0.15382464
4.0,01-03 16:00,공주,0.14110175
4.0,01-03 17:00,공주,0.14809202
4.0,01-03 18:00,공주,0.14833845
4.0,01-03 19:00,공주,0.14934167
4.0,01-03 20:00,공주,0.15884086
4.0,01-03 21:00,공주,0.1725115
4.0,01-03 22:00,공주,0.16815166
4.0,01-03 23:00,공주,0.17380922
4.0,01-04 00:00,공주,0.18696712
4.0,01-04 01:00,공주,0.19160494
4.0,01-04 02:00,공주,0.18430376
4.0,01-04 03:00,공주,0.18566851
4.0,01-04 04:00,공주,0.18377939
4.0,01-04 05:00,공주,0.1799138
4.0,01-04 06:00,공주,0.18131179
4.0,01-04 07:00,공주,0.18629237
4.0,01-04 08:00,공주,0.19000651
4.0,01-04 09:00,공주,0.22134183
4.0,01-04 10:00,공주,0.21540646
4.0,01-04 11:00,공주,0.18624379
4.0,01-04 12:00,공주,0.15160225
4.0,01-04 13:00,공주,0.13887908
4.0,01-04 14:00,공주,0.13647151
4.0,01-04 15:00,공주,0.141566
4.0,01-04 16:00,공주,0.13973276
4.0,01-04 17:00,공주,0.14551176
4.0,01-04 18:00,공주,0.15335575
4.0,01-04 19:00,공주,0.17989425
4.0,01-04 20:00,공주,0.17601386
4.0,01-04 21:00,공주,0.1748477
4.0,01-04 22:00,공주,0.16780566
4.0,01-04 23:00,공주,0.16228954
4.0,01-05 00:00,공주,0.16239262
4.0,01-05 01:00,공주,0.15451443
4.0,01-05 02:00,공주,0.1551054
4.0,01-05 03:00,공주,0.15436018
4.0,01-05 04:00,공주,0.1532719
4.0,01-05 05:00,공주,0.16340163
4.0,01-05 06:00,공주,0.15964107
4.0,01-05 07:00,공주,0.16173868
4.0,01-05 08:00,공주,0.1830362
4.0,01-05 09:00,공주,0.24562156
4.0,01-05 10:00,공주,0.2590006
4.0,01-05 11:00,공주,0.22355227
4.0,01-05 12:00,공주,0.18083121
4.0,01-05 13:00,공주,0.19169116
4.0,01-05 14:00,공주,0.18974881
4.0,01-05 15:00,공주,0.1784006
4.0,01-05 16:00,공주,0.18089594
4.0,01-05 17:00,공주,0.17272462
4.0,01-05 18:00,공주,0.16730537
4.0,01-05 19:00,공주,0.16094047
4.0,01-05 20:00,공주,0.16336739
4.0,01-05 21:00,공주,0.1701107
4.0,01-05 22:00,공주,0.17271385
4.0,01-05 23:00,공주,0.17848286
4.0,01-08 00:00,공주,0.18101104
4.0,01-08 01:00,공주,0.21536729
4.0,01-08 02:00,공주,0.20913818
4.0,01-08 03:00,공주,0.17423742
4.0,01-08 04:00,공주,0.15972576
4.0,01-08 05:00,공주,0.17564999
4.0,01-08 06:00,공주,0.18119073
4.0,01-08 07:00,공주,0.16660601
4.0,01-08 08:00,공주,0.18109396
4.0,01-08 09:00,공주,0.18997988
4.0,01-08 10:00,공주,0.17156029
4.0,01-08 11:00,공주,0.13621125
4.0,01-08 12:00,공주,0.111815766
4.0,01-08 13:00,공주,0.11761938
4.0,01-08 14:00,공주,0.11704964
4.0,01-08 15:00,공주,0.13401279
4.0,01-08 16:00,공주,0.14170103
4.0,01-08 17:00,공주,0.14354925
4.0,01-08 18:00,공주,0.14483356
4.0,01-08 19:00,공주,0.143684
4.0,01-08 20:00,공주,0.14634152
