ID,Calories_Burned
TEST_0000,289.38385
TEST_0001,314.73837
TEST_0002,312.29327
TEST_0003,314.73837
TEST_0004,289.38385
TEST_0005,289.38385
TEST_0006,314.73837
TEST_0007,310.59357
TEST_0008,312.29327
TEST_0009,291.82898
TEST_0010,291.82898
TEST_0011,289.38385
TEST_0012,314.73837
TEST_0013,314.73837
TEST_0014,314.73837
TEST_0015,289.38385
TEST_0016,312.29327
TEST_0017,289.38385
TEST_0018,289.38385
TEST_0019,314.73837
TEST_0020,312.29327
TEST_0021,314.73837
TEST_0022,314.73837
TEST_0023,289.38385
TEST_0024,314.73837
TEST_0025,291.82898
TEST_0026,314.73837
TEST_0027,289.38385
TEST_0028,289.38385
TEST_0029,289.38385
TEST_0030,289.38385
TEST_0031,314.73837
TEST_0032,312.29327
TEST_0033,312.29327
TEST_0034,289.38385
TEST_0035,308.078
TEST_0036,289.38385
TEST_0037,314.73837
TEST_0038,314.73837
TEST_0039,289.38385
TEST_0040,314.73837
TEST_0041,289.38385
TEST_0042,314.73837
TEST_0043,289.38385
TEST_0044,289.38385
TEST_0045,310.59357
TEST_0046,314.73837
TEST_0047,289.38385
TEST_0048,314.73837
TEST_0049,314.73837
TEST_0050,312.29327
TEST_0051,289.38385
TEST_0052,314.73837
TEST_0053,312.29327
TEST_0054,289.38385
TEST_0055,286.05795
TEST_0056,314.73837
TEST_0057,310.59357
TEST_0058,312.29327
TEST_0059,289.38385
TEST_0060,312.29327
TEST_0061,289.38385
TEST_0062,289.38385
TEST_0063,291.82898
TEST_0064,312.29327
TEST_0065,289.38385
TEST_0066,310.59357
TEST_0067,291.82898
TEST_0068,289.38385
TEST_0069,289.38385
TEST_0070,312.29327
TEST_0071,312.29327
TEST_0072,312.29327
TEST_0073,314.73837
TEST_0074,314.73837
TEST_0075,289.38385
TEST_0076,289.38385
TEST_0077,289.38385
TEST_0078,314.73837
TEST_0079,312.29327
TEST_0080,289.38385
TEST_0081,289.38385
TEST_0082,314.73837
TEST_0083,308.078
TEST_0084,314.73837
TEST_0085,289.38385
TEST_0086,289.38385
TEST_0087,286.05795
TEST_0088,312.29327
TEST_0089,312.29327
TEST_0090,289.38385
TEST_0091,289.38385
TEST_0092,314.73837
TEST_0093,312.29327
TEST_0094,308.078
TEST_0095,289.38385
TEST_0096,314.73837
TEST_0097,314.73837
TEST_0098,314.73837
TEST_0099,289.38385
TEST_0100,289.38385
TEST_0101,289.38385
TEST_0102,314.73837
TEST_0103,312.29327
TEST_0104,314.73837
TEST_0105,289.38385
TEST_0106,314.73837
TEST_0107,314.73837
TEST_0108,308.078
TEST_0109,289.38385
TEST_0110,314.73837
TEST_0111,289.38385
TEST_0112,314.73837
TEST_0113,314.73837
TEST_0114,314.73837
TEST_0115,289.38385
TEST_0116,289.38385
TEST_0117,289.38385
TEST_0118,289.38385
TEST_0119,289.38385
TEST_0120,314.73837
TEST_0121,312.29327
TEST_0122,291.82898
TEST_0123,314.73837
TEST_0124,289.38385
TEST_0125,291.82898
TEST_0126,289.38385
TEST_0127,289.38385
TEST_0128,289.38385
TEST_0129,289.38385
TEST_0130,289.38385
TEST_0131,312.29327
TEST_0132,289.38385
TEST_0133,314.73837
TEST_0134,289.38385
TEST_0135,289.38385
