ID,Outcome
TEST_000,0.51356846
TEST_001,0.37624633
TEST_002,0.48979965
TEST_003,0.48979965
TEST_004,0.22018091
TEST_005,0.11793063
TEST_006,0.48979965
TEST_007,0.48979965
TEST_008,0.05592913
TEST_009,0.18245608
TEST_010,0.48979965
TEST_011,0.48979965
TEST_012,0.48979965
TEST_013,0.4615276
TEST_014,0.08057662
TEST_015,0.48979965
TEST_016,0.48979965
TEST_017,0.23390228
TEST_018,0.41242528
TEST_019,0.48979965
TEST_020,0.48979965
TEST_021,0.40607473
TEST_022,0.2769518
TEST_023,0.170672
TEST_024,0.18097132
TEST_025,0.48979965
TEST_026,0.07175048
TEST_027,0.48979965
TEST_028,0.29643804
TEST_029,0.38113666
TEST_030,0.48979965
TEST_031,0.24044263
TEST_032,0.15405975
TEST_033,0.12586953
TEST_034,0.48979965
TEST_035,0.489531
TEST_036,0.2329981
TEST_037,0.1478702
TEST_038,0.54923517
TEST_039,0.48979965
TEST_040,0.21412572
TEST_041,0.34603667
TEST_042,0.5271534
TEST_043,0.2747487
TEST_044,0.26391342
TEST_045,0.48979965
TEST_046,0.4488356
TEST_047,0.46415862
TEST_048,0.48979965
TEST_049,0.48979965
TEST_050,0.33915806
TEST_051,0.48979965
TEST_052,0.50239843
TEST_053,0.5215815
TEST_054,0.55363977
TEST_055,0.48979965
TEST_056,0.24118662
TEST_057,0.48979965
TEST_058,0.48979965
TEST_059,0.48979965
TEST_060,0.10077314
TEST_061,0.48979965
TEST_062,0.5060487
TEST_063,0.48979965
TEST_064,0.48979965
TEST_065,0.5208623
TEST_066,0.48979965
TEST_067,0.48979965
TEST_068,0.48979965
TEST_069,0.18750733
TEST_070,0.48198038
TEST_071,0.48979965
TEST_072,0.50663704
TEST_073,0.034876537
TEST_074,0.4520552
TEST_075,0.48979965
TEST_076,0.48979965
TEST_077,0.0590203
TEST_078,0.5127988
TEST_079,0.42546228
TEST_080,0.16942963
TEST_081,0.0024488543
TEST_082,0.3091831
TEST_083,0.09230593
TEST_084,0.17237963
TEST_085,0.5278214
TEST_086,0.5206687
TEST_087,0.349652
TEST_088,0.48979965
TEST_089,0.12527104
TEST_090,0.48979965
TEST_091,0.21320821
TEST_092,0.48979965
TEST_093,0.4766397
TEST_094,0.37749124
TEST_095,0.46075368
TEST_096,0.48979965
TEST_097,0.13837431
TEST_098,0.48979965
TEST_099,0.48979965
TEST_100,0.48979965
TEST_101,0.54324967
TEST_102,0.19233245
TEST_103,0.48979965
TEST_104,0.3377797
TEST_105,0.31185564
TEST_106,0.2213693
TEST_107,0.48979965
TEST_108,0.31924015
TEST_109,0.107548185
TEST_110,0.44505522
TEST_111,0.44083402
TEST_112,0.48979965
TEST_113,0.48979965
TEST_114,0.2704257
TEST_115,0.34026897
