index,quality
0,6
1,5
2,5
3,6
4,6
5,6
6,6
7,6
8,6
9,7
10,6
11,5
12,7
13,6
14,6
15,5
16,6
17,7
18,6
19,5
20,6
21,6
22,5
23,7
24,6
25,5
26,5
27,5
28,5
29,6
30,7
31,6
32,5
33,5
34,6
35,6
36,5
37,5
38,6
39,6
40,6
41,5
42,6
43,6
44,6
45,6
46,5
47,7
48,5
49,6
50,5
51,5
52,6
53,4
54,5
55,5
56,6
57,5
58,5
59,6
60,5
61,6
62,5
63,6
64,6
65,6
66,5
67,6
68,6
69,5
70,5
71,6
72,5
73,6
74,6
75,5
76,6
77,6
78,8
79,7
80,7
81,6
82,5
83,4
84,6
85,5
86,5
87,5
88,6
89,7
90,6
91,5
92,6
93,7
94,6
95,6
96,6
97,6
98,6
99,6
100,5
101,5
102,6
103,5
104,6
105,6
106,6
107,6
108,6
109,5
110,6
111,7
112,6
113,5
114,5
115,7
116,6
117,6
118,7
119,6
120,7
121,5
122,6
123,7
124,5
125,5
126,5
127,6
128,6
129,7
130,5
131,5
132,6
133,5
134,5
135,7
136,6
137,6
138,4
139,5
140,5
141,5
142,5
143,6
144,5
145,5
146,6
147,6
148,7
149,6
150,5
151,8
152,6
153,5
154,6
155,5
156,5
157,6
158,7
159,3
160,5
161,6
162,5
163,6
164,7
165,6
166,5
167,6
168,5
169,5
170,5
171,5
172,6
173,5
174,5
175,5
176,6
177,5
178,6
179,6
180,6
181,6
182,6
183,7
184,5
185,6
186,6
187,6
188,5
189,6
190,6
191,6
192,5
193,6
194,5
195,6
196,6
197,5
198,5
199,5
200,6
201,6
202,6
203,5
204,5
205,5
206,6
207,7
208,6
209,6
210,7
211,5
212,5
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,6
221,6
222,6
223,6
224,7
225,6
226,7
227,5
228,6
229,5
230,6
231,7
232,7
233,6
234,6
235,6
236,5
237,6
238,6
239,6
240,6
241,6
242,6
243,6
244,6
245,5
246,6
247,7
248,5
249,7
250,5
251,6
252,7
253,7
254,6
255,6
256,6
257,7
258,7
259,6
260,6
261,6
262,5
263,6
264,5
265,5
266,6
267,6
268,6
269,6
270,6
271,6
272,5
273,5
274,6
275,5
276,7
277,7
278,5
279,6
280,6
281,7
282,4
283,5
284,7
285,7
286,5
287,6
288,5
289,6
290,4
291,5
292,5
293,6
294,5
295,6
296,8
297,5
298,5
299,8
300,6
301,5
302,5
303,5
304,6
305,5
306,5
307,6
308,5
309,5
310,6
311,5
312,6
313,5
