index,quality
0,5
1,3
2,3
3,5
4,6
5,6
6,3
7,6
8,6
9,3
10,6
11,5
12,7
13,3
14,6
15,5
16,6
17,6
18,5
19,5
20,6
21,6
22,5
23,3
24,6
25,5
26,5
27,5
28,5
29,5
30,7
31,6
32,5
33,3
34,5
35,3
36,5
37,5
38,6
39,6
40,6
41,3
42,6
43,6
44,6
45,3
46,5
47,3
48,5
49,6
50,5
51,5
52,6
53,4
54,5
55,6
56,6
57,5
58,5
59,6
60,5
61,6
62,6
63,4
64,3
65,6
66,5
67,5
68,6
69,5
70,5
71,5
72,5
73,6
74,6
75,5
76,6
77,3
78,3
79,7
80,3
81,6
82,5
83,4
84,6
85,5
86,5
87,5
88,6
89,3
90,6
91,6
92,6
93,6
94,6
95,7
96,3
97,3
98,6
99,3
100,5
101,6
102,6
103,5
104,3
105,6
106,6
107,6
108,7
109,5
110,6
111,3
112,6
113,5
114,5
115,6
116,6
117,7
118,7
119,6
120,6
121,5
122,6
123,3
124,6
125,5
126,3
127,6
128,6
129,7
130,5
131,5
132,3
133,5
134,5
135,6
136,6
137,7
138,5
139,5
140,5
141,6
142,5
143,5
144,5
145,5
146,7
147,6
148,3
149,6
150,5
151,8
152,6
153,5
154,6
155,5
156,3
157,5
158,6
159,3
160,5
161,6
162,6
163,3
164,6
165,5
166,5
167,6
168,5
169,5
170,5
171,5
172,6
173,5
174,3
175,3
176,6
177,5
178,6
179,3
180,6
181,6
182,7
183,7
184,5
185,6
186,6
187,6
188,5
189,6
190,6
191,3
192,6
193,6
194,3
195,6
196,3
197,5
198,6
199,5
200,6
201,5
202,6
203,5
204,3
205,3
206,6
207,6
208,6
209,6
210,7
211,5
212,3
213,6
214,3
215,6
216,6
217,3
218,6
219,3
220,6
221,5
222,6
223,6
224,7
225,6
226,6
227,5
228,6
229,5
230,6
231,7
232,7
233,3
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,6
242,6
243,6
244,7
245,3
246,6
247,6
248,5
249,3
250,5
251,6
252,7
253,7
254,6
255,6
256,3
257,3
258,7
259,6
260,7
261,5
262,5
263,6
264,5
265,5
266,3
267,5
268,6
269,6
270,6
271,5
272,3
273,5
274,6
275,5
276,7
277,7
278,5
279,6
280,6
281,6
282,6
283,6
284,3
285,6
286,6
287,6
288,5
289,6
290,5
291,5
292,5
293,6
294,5
295,7
296,8
297,5
298,5
299,7
300,6
301,6
302,5
303,5
304,6
305,5
306,5
307,7
308,5
309,5
310,6
311,5
312,3
313,5
314,6
315,6
316,5
317,3
318,6
319,6
320,5
321,5
322,6
323,5
324,4
325,6
326,5
327,3
328,6
329,3
330,5
331,7
332,7
333,5
334,5
335,3
336,5
337,6
338,6
339,6
340,6
341,6
342,3
343,6
344,5
345,6
346,3
347,3
348,5
349,6
350,5
351,6
352,5
353,6
354,6
355,5
356,3
357,6
358,5
359,6
360,5
361,5
362,3
363,3
364,7
365,6
366,5
367,3
368,7
369,3
370,6
371,6
372,5
373,5
374,3
