iter	RMSE
0	3.762230289
1	3.694911572
2	3.639715771
3	3.596389459
4	3.560730888
5	3.532269219
6	3.509492888
7	3.491067687
8	3.476321597
9	3.464515659
10	3.45416399
11	3.445568083
12	3.433118761
13	3.421612438
14	3.412568008
15	3.405577827
16	3.399966567
17	3.394821269
18	3.390790648
19	3.387482926
20	3.384702444
21	3.38191356
22	3.380000253
23	3.377652819
24	3.375370833
25	3.373720737
26	3.372035114
27	3.370724659
28	3.369332201
29	3.368136697
30	3.367141725
31	3.366299448
32	3.365370781
33	3.364472067
34	3.363579447
35	3.36313489
36	3.36249541
37	3.361946172
38	3.361420616
39	3.361044044
40	3.360485523
41	3.360014588
42	3.359434977
43	3.359032534
44	3.358767879
45	3.358497785
46	3.35807304
47	3.357608073
48	3.357076162
49	3.356855633
50	3.356650774
51	3.356141664
52	3.355881921
53	3.355614994
54	3.355349435
55	3.355025988
56	3.354807018
57	3.354609615
58	3.354407058
59	3.354242957
60	3.354095336
61	3.353842187
62	3.353503912
63	3.353318452
64	3.35310992
65	3.352775297
66	3.352582088
67	3.352268651
68	3.352136406
69	3.352019815
70	3.351846823
71	3.351516552
72	3.351215963
73	3.350990455
74	3.350745148
75	3.35051858
76	3.350178575
77	3.349973283
78	3.349800978
79	3.349608678
80	3.349452281
81	3.349321662
82	3.349145168
83	3.348954602
84	3.348704127
85	3.348619263
86	3.348550264
87	3.348375366
88	3.348242544
89	3.34807762
90	3.347984553
91	3.34791162
92	3.347804647
93	3.347598
94	3.347496204
95	3.347062496
96	3.346901879
97	3.346805316
98	3.346691871
99	3.346602618
100	3.346437086
101	3.346359983
102	3.346177768
103	3.346055571
104	3.345931201
105	3.345755696
106	3.345665694
107	3.34552639
108	3.345388276
109	3.345253934
110	3.345135413
111	3.345027289
112	3.344920681
113	3.344859897
114	3.344760289
115	3.34462436
116	3.344538543
117	3.344450082
118	3.344290523
119	3.344149081
120	3.344013874
121	3.343887681
122	3.343769187
123	3.343640342
124	3.343488652
125	3.343337722
126	3.343187654
127	3.342919248
128	3.342845207
129	3.342706838
130	3.342559518
131	3.342370623
132	3.342205974
133	3.3419591
134	3.341811612
135	3.341670803
136	3.341449235
