iter	Passed	Remaining
0	26	13310
1	53	13589
2	80	13598
3	105	13408
4	134	13625
5	160	13553
6	194	14000
7	224	14169
8	253	14172
9	279	14014
10	304	13868
11	329	13734
12	355	13662
13	381	13558
14	404	13413
15	429	13313
16	453	13199
17	478	13129
18	502	13050
19	535	13175
20	564	13203
21	598	13330
22	738	15706
23	866	17609
24	933	18193
25	970	18133
26	1000	17964
27	1026	17739
28	1054	17557
29	1083	17403
30	1109	17210
31	1136	17045
32	1170	16989
33	1203	16917
34	1235	16833
35	1264	16717
36	1297	16659
37	1334	16649
38	1367	16589
39	1401	16540
40	1442	16565
41	1484	16617
42	1521	16598
43	1561	16608
44	1596	16566
45	1627	16485
46	1654	16370
47	1682	16267
48	1717	16228
49	1749	16164
50	1784	16129
51	1822	16121
52	1867	16172
53	1909	16197
54	1999	16613
55	2148	17496
56	2309	18439
57	2481	19423
58	2612	20059
59	2732	20587
60	2816	20822
61	2878	20889
62	2997	21364
63	3098	21687
64	3142	21608
65	3180	21492
66	3226	21432
67	3336	21783
68	3466	22256
69	3549	22415
70	3678	22847
71	3786	23137
72	3913	23535
73	4051	23977
74	4097	23876
75	4144	23773
76	4185	23644
77	4256	23686
78	4303	23588
79	4346	23469
80	4388	23349
81	4427	23219
82	4479	23153
83	4523	23049
84	4555	22884
85	4590	22739
86	4623	22584
87	4660	22457
88	4735	22507
89	4889	22925
90	4986	23067
91	5022	22928
92	5076	22870
93	5138	22849
94	5208	22861
95	5263	22808
96	5309	22715
97	5365	22665
98	5402	22537
99	5445	22436
100	5512	22431
101	5553	22322
102	5604	22255
103	5643	22139
104	5679	22014
105	5735	21966
106	5761	21806
107	5787	21648
108	5811	21486
109	5840	21344
110	5866	21193
111	5891	21041
112	5917	20895
113	5944	20754
114	5978	20637
115	6007	20509
116	6041	20395
117	6068	20263
118	6118	20205
119	6143	20067
120	6168	19934
121	6193	19798
122	6217	19664
123	6242	19534
124	6267	19403
125	6291	19275
126	6317	19150
127	6343	19031
128	6379	18940
129	6406	18825
130	6431	18706
131	6457	18589
132	6482	18472
133	6508	18361
134	6535	18249
135	6561	18139
136	6585	18026
137	6613	17924
138	6640	17819
139	6666	17713
140	6691	17607
141	6720	17511
142	6746	17407
143	6772	17306
144	6796	17202
145	6824	17106
146	6850	17008
147	6876	16913
148	6903	16819
149	6928	16720
150	6953	16623
151	6979	16529
152	7003	16433
153	7029	16341
154	7053	16246
155	7079	16154
156	7105	16066
157	7130	15975
158	7156	15887
159	7181	15799
160	7206	15711
161	7239	15639
162	7265	15556
163	7298	15486
164	7324	15403
165	7352	15325
166	7377	15241
167	7403	15160
168	7433	15086
169	7460	15007
170	7490	14936
171	7527	14879
172	7571	14836
173	7603	14770
174	7628	14690
175	7660	14623
176	7686	14548
177	7718	14483
178	7749	14416
179	7775	14341
180	7800	14264
181	7824	14186
182	7850	14113
183	7874	14037
184	7903	13969
185	7929	13897
186	7955	13827
187	7981	13755
188	8015	13698
189	8043	13631
190	8069	13560
191	8099	13498
192	8129	13436
193	8155	13367
194	8180	13298
195	8211	13239
196	8241	13177
197	8267	13111
198	8306	13064
199	8331	12996
200	8358	12932
201	8389	12874
202	8415	12809
203	8440	12742
204	8465	12677
205	8489	12610
206	8518	12551
207	8544	12488
