,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0031246185302734376,0.006249237060546876,0.0,0.0,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9833333333333334,0.020412414523193135,1
44,0.0,0.0,0.0,0.0,1000,3,sigmoid,0.0001,"{'C': 1000, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,0.9833333333333334,0.020412414523193135,1
43,0.0,0.0,0.0,0.0,1000,3,sigmoid,0.001,"{'C': 1000, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9833333333333334,0.020412414523193135,1
40,0.006249618530273437,0.012499237060546875,0.0,0.0,100,4,sigmoid,0.001,"{'C': 100, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,0.9833333333333334,0.020412414523193135,1
37,0.0031248092651367187,0.006249618530273437,0.0,0.0,100,3,sigmoid,0.001,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,0.9833333333333334,0.020412414523193135,1
46,0.0,0.0,0.0,0.0,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9833333333333334,0.020412414523193135,1
15,0.0007995128631591797,0.00039975647068324946,0.0,0.0,1,,linear,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9833333333333334,0.020412414523193135,1
13,0.00039992332458496096,0.000489804092959327,0.0005997180938720703,0.0004896678969917535,1,,linear,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9833333333333334,0.020412414523193135,1
47,0.0,0.0,0.0031247615814208986,0.006249523162841797,1000,4,sigmoid,0.0001,"{'C': 1000, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,0.9833333333333334,0.020412414523193135,1
1,0.003124904632568359,0.006249809265136718,0.0,0.0,1,4,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9833333333333334,0.020412414523193135,1
2,0.003124904632568359,0.0062498092651367175,0.0,0.0,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9833333333333334,0.020412414523193135,1
20,0.00019989013671875,0.0003997802734375,0.0004070281982421875,0.0004986374056179081,100,,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,1.0,0.975,0.02041241452319313,12
3,0.0,0.0,0.0,0.0,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9666666666666668,0.031180478223116186,13
4,0.00019989013671875,0.0003997802734375,0.0,0.0,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9666666666666668,0.031180478223116186,13
5,0.0005993843078613281,0.0004893955167912208,0.00019989013671875,0.0003997802734375,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9666666666666668,0.031180478223116186,13
17,0.0,0.0,0.0003996849060058594,0.0004895121317013902,10,,linear,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9666666666666668,0.031180478223116186,13
19,0.0,0.0,0.0,0.0,10,,linear,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9666666666666668,0.031180478223116186,13
9,0.00039973258972167967,0.0004895704914386467,0.0003998279571533203,0.0004896873850638213,1000,3,linear,,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.026352313834736508,18
8,0.0005996227264404297,0.0004895900066087565,0.0005994796752929688,0.0004894731129544958,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.026352313834736508,18
21,0.0,0.0,0.0,0.0,100,,linear,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.026352313834736508,18
23,0.0,0.0,0.0,0.0,100,,linear,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.026352313834736508,18
