,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
62,1,72,0.0007491111755371094,0.0004324995826593083,0.00025010108947753906,0.0004331877940034276,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9444444444444444,1.0,0.9444444444444444,1.0,0.9722222222222222,0.02777777777777779,1,0.9814814814814815,1.0,0.9814814814814815,1.0,0.9907407407407407,0.009259259259259245
48,1,72,0.000500023365020752,0.0005000249636646471,0.0002504587173461914,0.000433807223642136,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",0.9444444444444444,1.0,0.9444444444444444,1.0,0.9722222222222222,0.02777777777777779,1,0.9814814814814815,1.0,0.9814814814814815,1.0,0.9907407407407407,0.009259259259259245
58,1,72,0.0007497072219848633,0.00043284384152702306,0.0002499818801879883,0.00043298131745719143,1,,linear,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.9444444444444444,1.0,0.9444444444444444,1.0,0.9722222222222222,0.02777777777777779,1,0.9814814814814815,1.0,0.9814814814814815,1.0,0.9907407407407407,0.009259259259259245
59,1,72,0.0007493495941162109,0.000432638054851541,0.00025004148483276367,0.0004330845557303095,1,,linear,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",0.9444444444444444,1.0,0.9444444444444444,1.0,0.9722222222222222,0.02777777777777779,1,0.9814814814814815,1.0,0.9814814814814815,1.0,0.9907407407407407,0.009259259259259245
46,0,24,0.0,0.0,0.0,0.0,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,0.8333333333333334,1.0,0.9583333333333334,0.0721687836487032,5,1.0,1.0,1.0,1.0,1.0,0.0
23,0,24,0.0,0.0,0.0,0.0,100,,linear,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,1.0,0.8333333333333334,1.0,0.9583333333333334,0.0721687836487032,5,1.0,1.0,1.0,1.0,1.0,0.0
21,0,24,0.0,0.0,0.0,0.0,100,,linear,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'linear'}",1.0,1.0,0.8333333333333334,1.0,0.9583333333333334,0.0721687836487032,5,1.0,1.0,1.0,1.0,1.0,0.0
19,0,24,0.0,0.0,0.0,0.0,10,,linear,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,1.0,0.8333333333333334,1.0,0.9583333333333334,0.0721687836487032,5,1.0,1.0,1.0,1.0,1.0,0.0
17,0,24,0.0,0.0,0.0,0.0,10,,linear,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",1.0,1.0,0.8333333333333334,1.0,0.9583333333333334,0.0721687836487032,5,1.0,1.0,1.0,1.0,1.0,0.0
43,0,24,0.0,0.0,0.0,0.0,1000,3,sigmoid,0.001,"{'C': 1000, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,0.8333333333333334,1.0,0.9583333333333334,0.0721687836487032,5,1.0,1.0,1.0,1.0,1.0,0.0
