,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
69,2,720,0.008993387222290039,4.460403188197543e-07,0.0027490854263305664,0.00043188012017880814,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",0.9833333333333333,0.9664804469273743,0.9608938547486033,0.9776536312849162,0.9720903165735568,0.008862664544072547,1,1.0,1.0,1.0,1.0,1.0,0.0
67,2,720,0.010992884635925293,0.00291381310752639,0.002747952938079834,0.00043287876858768545,1,,linear,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",0.9833333333333333,0.9664804469273743,0.9608938547486033,0.9776536312849162,0.9720903165735568,0.008862664544072547,1,1.0,1.0,1.0,1.0,1.0,0.0
66,2,720,0.032730281352996826,0.04111199249430269,0.0027484893798828125,0.0004327748737475549,1,,linear,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.9833333333333333,0.9664804469273743,0.9608938547486033,0.9776536312849162,0.9720903165735568,0.008862664544072547,1,1.0,1.0,1.0,1.0,1.0,0.0
65,2,720,0.00899362564086914,0.0007062973853210403,0.0054970383644104,0.003772504124808753,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",0.9833333333333333,0.9664804469273743,0.9608938547486033,0.9776536312849162,0.9720903165735568,0.008862664544072547,1,1.0,1.0,1.0,1.0,1.0,0.0
64,2,720,0.01174253225326538,0.0021645006189904958,0.0029984116554260254,4.256623046721727e-07,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",0.9833333333333333,0.9664804469273743,0.9608938547486033,0.9776536312849162,0.9720903165735568,0.008862664544072547,1,1.0,1.0,1.0,1.0,1.0,0.0
68,2,720,0.008744657039642334,0.00043232751888821433,0.002748429775238037,0.0004321903939677571,10,,linear,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.9833333333333333,0.9664804469273743,0.9608938547486033,0.9776536312849162,0.9720903165735568,0.008862664544072547,1,1.0,1.0,1.0,1.0,1.0,0.0
47,0,80,0.0012484192848205566,0.0004332911634664527,0.000750124454498291,0.0004330846869827624,1000,4,sigmoid,0.0001,"{'C': 1000, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
44,0,80,0.001749277114868164,0.00043305035080548317,0.0002499818801879883,0.00043298131745719143,1000,3,sigmoid,0.0001,"{'C': 1000, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
41,0,80,0.0017487406730651855,0.00043260377356100436,0.0005006790161132812,0.0005006797256918829,100,4,sigmoid,0.0001,"{'C': 100, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
38,0,80,0.001997530460357666,0.000707140731158226,0.0007494688034057617,0.0008288807066559977,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
23,0,80,0.0014992356300354004,0.0004991889355787578,0.0004994869232177734,0.0004994869516686771,100,,linear,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
21,0,80,0.003747880458831787,0.0042033655303368835,0.001498878002166748,0.0008655841328874603,100,,linear,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
